Unnamed: 0,visitorid,total_events,first_event,last_event,recency_days,tenure_days,total_views,total_addtocarts,total_tx,distinct_items,view_items,addtocart_items,tx_items,prop_addtocart,prop_tx,events_7d,events_14d,events_30d,active_days,events_per_active_day,view_price,addtocart_price,tx_price,avg_inter_event_days,prop_very_fast,prop_same_item_repeat,max_events_per_minute,level_1,delta_s,prop_price_available,flag_many_events,flag_many_events_30d,flag_events_per_day_high,flag_high_epm,flag_fast_burst,flag_repeat_items,flag_many_distinct_items,rule_flag_score,iso_score,iso_flag,iso_score_norm,model_flag,rule_score_norm,combined_score,final_flag
1150086,1150086,7700,2015-06-11 14:55:17.389,2015-09-17 02:57:11.237,1,98,6479,719,559,3814,3809,623,532,0.0933766233766112,0.0725974025973931,233,762,1184,74,104.05405405405403,132888.39587128113,162325.843373494,151165.41312741314,0.0125653033851928,0.0117313394353487,0.2709810493747583,10,min_ie_s,0.0,0.7893515534356066,1,1,0,0,0,0,1,3,-0.1180867453969236,1,0.9779671793417992,1,1.0,0.9911868717367197,1
1150086,1150086,7700,2015-06-11 14:55:17.389,2015-09-17 02:57:11.237,1,98,6479,719,559,3814,3809,623,532,0.0933766233766112,0.0725974025973931,233,762,1184,74,104.05405405405403,132888.39587128113,162325.843373494,151165.41312741314,0.0125653033851928,0.0117313394353487,0.2709810493747583,10,median_ie_s,107.597,0.7893515534356066,1,1,0,0,0,0,1,3,-0.1180867453969236,1,0.9779671793417992,1,1.0,0.9911868717367197,1
1150086,1150086,7700,2015-06-11 14:55:17.389,2015-09-17 02:57:11.237,1,98,6479,719,559,3814,3809,623,532,0.0933766233766112,0.0725974025973931,233,762,1184,74,104.05405405405403,132888.39587128113,162325.843373494,151165.41312741314,0.0125653033851928,0.0117313394353487,0.2709810493747583,10,std_ie_s,12226.16089038191,0.7893515534356066,1,1,0,0,0,0,1,3,-0.1180867453969236,1,0.9779671793417992,1,1.0,0.9911868717367197,1
152963,152963,2953,2015-07-31 21:14:28.499,2015-09-18 02:48:46.605,0,49,2304,371,349,1622,1596,350,319,0.1256349475109632,0.1181848967151648,453,941,1937,38,77.71052631578948,136103.37548638132,129124.13559322034,122986.8895522388,0.0159495067139584,0.0357142857142857,0.2863756613756614,6,min_ie_s,0.0,0.9077380952380952,0,1,0,0,0,0,1,2,-0.1226934640148401,1,0.9864076876477788,1,0.6666666666666666,0.7945630750591115,1
152963,152963,2953,2015-07-31 21:14:28.499,2015-09-18 02:48:46.605,0,49,2304,371,349,1622,1596,350,319,0.1256349475109632,0.1181848967151648,453,941,1937,38,77.71052631578948,136103.37548638132,129124.13559322034,122986.8895522388,0.0159495067139584,0.0357142857142857,0.2863756613756614,6,median_ie_s,118.022,0.9077380952380952,0,1,0,0,0,0,1,2,-0.1226934640148401,1,0.9864076876477788,1,0.6666666666666666,0.7945630750591115,1
152963,152963,2953,2015-07-31 21:14:28.499,2015-09-18 02:48:46.605,0,49,2304,371,349,1622,1596,350,319,0.1256349475109632,0.1181848967151648,453,941,1937,38,77.71052631578948,136103.37548638132,129124.13559322034,122986.8895522388,0.0159495067139584,0.0357142857142857,0.2863756613756614,6,std_ie_s,12953.445768987664,0.9077380952380952,0,1,0,0,0,0,1,2,-0.1226934640148401,1,0.9864076876477788,1,0.6666666666666666,0.7945630750591115,1
247235,247235,1690,2015-08-13 21:09:50.653,2015-09-14 23:43:43.989,3,33,1401,165,132,958,950,150,129,0.0976331360946167,0.0781065088756934,270,510,1118,19,88.94736842105263,146193.8483496878,148185.1948051948,138171.24590163934,0.0189140763111373,0.0141342756183745,0.2491166077738515,9,min_ie_s,0.0,0.8227326266195524,0,1,0,0,0,0,1,2,-0.1180867453969236,1,0.9779671793417992,1,0.6666666666666666,0.7911868717367196,1
247235,247235,1690,2015-08-13 21:09:50.653,2015-09-14 23:43:43.989,3,33,1401,165,132,958,950,150,129,0.0976331360946167,0.0781065088756934,270,510,1118,19,88.94736842105263,146193.8483496878,148185.1948051948,138171.24590163934,0.0189140763111373,0.0141342756183745,0.2491166077738515,9,median_ie_s,131.423,0.8227326266195524,0,1,0,0,0,0,1,2,-0.1180867453969236,1,0.9779671793417992,1,0.6666666666666666,0.7911868717367196,1
247235,247235,1690,2015-08-13 21:09:50.653,2015-09-14 23:43:43.989,3,33,1401,165,132,958,950,150,129,0.0976331360946167,0.0781065088756934,270,510,1118,19,88.94736842105263,146193.8483496878,148185.1948051948,138171.24590163934,0.0189140763111373,0.0141342756183745,0.2491166077738515,9,std_ie_s,31311.265871867487,0.8227326266195524,0,1,0,0,0,0,1,2,-0.1180867453969236,1,0.9779671793417992,1,0.6666666666666666,0.7911868717367196,1
530559,530559,4263,2015-06-15 18:59:25.103,2015-09-17 02:14:14.827,1,94,3623,419,286,2209,2204,374,259,0.0982875908984052,0.0670889045273124,178,290,884,73,58.397260273972606,147700.63133097763,151797.84061696657,120061.0494296578,0.0215570459817339,0.0244916820702402,0.2160351201478743,6,min_ie_s,0.0,0.7391404805914972,1,0,0,0,0,0,1,2,-0.1163656442628534,1,0.9748137485329252,1,0.6666666666666666,0.7899254994131701,1
